Species,Plate,Point ,Area,Temp
X. cleistominuta,18,10,Fungi,40.5
X. cleistominuta,18,11,Fungi,40.9
X. cleistominuta,18,12,Fungi,40.9
X. cleistominuta,18,13,Fungi,39.9
X. cleistominuta,18,14,Fungi,39.9
X. cleistominuta,18,15,Fungi,40.2
X. cleistominuta,19,1,Agar,40.1
X. cleistominuta,19,2,Agar,40.1
X. cleistominuta,19,3,Agar,40.1
X. cleistominuta,19,4,Agar,40
X. cleistominuta,19,5,Agar,39.9
X. cleistominuta,19,6,Agar,39.8
X. cleistominuta,19,7,Agar,40.6
X. cleistominuta,19,8,Agar,40.7
X. cleistominuta,19,9,Agar,41
X. cleistominuta,19,10,Agar,40.9
X. cleistominuta,19,11,Agar,40.6
X. cleistominuta,19,12,Agar,40.5
X. cleistominuta,19,13,Agar,40.4
X. cleistominuta,19,14,Agar,40.2
X. cleistominuta,19,15,Agar,40.3
X. cleistominuta,19,1,Fungi,40.6
X. cleistominuta,19,2,Fungi,40.3
X. cleistominuta,19,3,Fungi,40.2
X. cleistominuta,19,4,Fungi,39.8
X. cleistominuta,19,5,Fungi,38.8
X. cleistominuta,19,6,Fungi,38.6
X. cleistominuta,19,7,Fungi,39.4
X. cleistominuta,19,8,Fungi,39.4
X. cleistominuta,19,9,Fungi,39.5
X. cleistominuta,19,10,Fungi,40
X. cleistominuta,19,11,Fungi,38.5
X. cleistominuta,19,12,Fungi,39.1
X. cleistominuta,19,13,Fungi,39.2
X. cleistominuta,19,14,Fungi,38.3
X. cleistominuta,19,15,Fungi,39.4
X. cleistominuta,20,1,Agar,41
X. cleistominuta,20,2,Agar,40.9
X. cleistominuta,20,3,Agar,41.3
X. cleistominuta,20,4,Agar,41.3
X. cleistominuta,20,5,Agar,41.3
X. cleistominuta,20,6,Agar,40.9
X. cleistominuta,20,7,Agar,41.1
X. cleistominuta,20,8,Agar,41
X. cleistominuta,20,9,Agar,41.3
X. cleistominuta,20,10,Agar,41.3
X. cleistominuta,20,11,Agar,41.3
X. cleistominuta,20,12,Agar,41
X. cleistominuta,20,13,Agar,41.5
X. cleistominuta,20,14,Agar,41.6
X. cleistominuta,20,15,Agar,41.5
X. cleistominuta,20,1,Fungi,40.2
X. cleistominuta,20,2,Fungi,41.4
X. cleistominuta,20,3,Fungi,41.2
X. cleistominuta,20,4,Fungi,41.4
X. cleistominuta,20,5,Fungi,40.3
X. cleistominuta,20,6,Fungi,39.1
X. cleistominuta,20,7,Fungi,40.7
X. cleistominuta,20,8,Fungi,41.3
X. cleistominuta,20,9,Fungi,40.2
X. cleistominuta,20,10,Fungi,41
X. cleistominuta,20,11,Fungi,40.8
X. cleistominuta,20,12,Fungi,40.9
X. cleistominuta,20,13,Fungi,40.2
X. cleistominuta,20,14,Fungi,40.4
X. cleistominuta,20,15,Fungi,40.5
X. cleistominuta,21,1,Agar,40.3
X. cleistominuta,21,2,Agar,40.3
X. cleistominuta,21,3,Agar,40.3
X. cleistominuta,21,4,Agar,40.1
X. cleistominuta,21,5,Agar,40.3
X. cleistominuta,21,6,Agar,40.2
X. cleistominuta,21,7,Agar,40.2
X. cleistominuta,21,8,Agar,40.1
X. cleistominuta,21,9,Agar,39.9
X. cleistominuta,21,10,Agar,40
X. cleistominuta,21,11,Agar,40.3
X. cleistominuta,21,12,Agar,40.3
X. cleistominuta,21,13,Agar,40.4
X. cleistominuta,21,14,Agar,40.3
X. cleistominuta,21,15,Agar,40.4
X. cleistominuta,21,1,Fungi,40.1
X. cleistominuta,21,2,Fungi,40.3
X. cleistominuta,21,3,Fungi,40.3
X. cleistominuta,21,4,Fungi,40.6
X. cleistominuta,21,5,Fungi,40
X. cleistominuta,21,6,Fungi,39.7
X. cleistominuta,21,7,Fungi,39.8
X. cleistominuta,21,8,Fungi,39.9
X. cleistominuta,21,9,Fungi,39.9
X. cleistominuta,21,10,Fungi,40.1
X. cleistominuta,21,11,Fungi,40
X. cleistominuta,21,12,Fungi,40
X. cleistominuta,21,13,Fungi,40
X. cleistominuta,21,14,Fungi,40.4
X. cleistominuta,21,15,Fungi,39.9
X. cleistominuta,22,1,Agar,42.2
X. cleistominuta,22,2,Agar,42.6
X. cleistominuta,22,3,Agar,42.6
X. cleistominuta,22,4,Agar,42.5
X. cleistominuta,22,5,Agar,42.4
X. cleistominuta,22,6,Agar,42.6
X. cleistominuta,22,7,Agar,42.6
X. cleistominuta,22,8,Agar,42.3
X. cleistominuta,22,9,Agar,42.7
X. cleistominuta,22,10,Agar,42.7
X. cleistominuta,22,11,Agar,41.8
X. cleistominuta,22,12,Agar,42.2
X. cleistominuta,22,13,Agar,42.4
X. cleistominuta,22,14,Agar,42.6
X. cleistominuta,22,15,Agar,42.6
X. cleistominuta,22,1,Fungi,41.5
X. cleistominuta,22,2,Fungi,41.3
X. cleistominuta,22,3,Fungi,41.4
X. cleistominuta,22,4,Fungi,41.7
X. cleistominuta,22,5,Fungi,41.8
X. cleistominuta,22,6,Fungi,41.5
X. cleistominuta,22,7,Fungi,41.5
X. cleistominuta,22,8,Fungi,41.6
